seed	team	player	wins	losses	cmpRnk	cmp	trnRnk	trn	slamRnk	slam	masseyRnk	massey	utrRnk	utr	itaRnk	ita	r2Id	masseyId	utrId
 1	FLA  	Duarte Vale                         	24	 6	 10	98.838	 14	 98.098	 12	 98.307	 15	8.652	 21	13.59	  4	54.011	459591	331243	 159642
 1	FLA  	Sam Riffice                         	24	 7	 17	98.296	 26	 97.088	 23	 97.254	 20	8.535	 20	13.61	  6	49.677	488586	331244	2391589
 1	FLA  	Blaise Bicknell                     	29	 0	 20	97.983	 15	 97.727	 52	 96.019	  3	8.981	 28	13.47	 51	15.886	509770	331249	2585475
 1	FLA  	Andy Andrade                        	25	 7	 28	96.795	 36	 96.439	 46	 96.245	 27	8.475	 42	13.39	 18	32.709	385909	331242	1880803
 1	FLA  	Joshua Goodger                      	21	 0	 50	94.816	 54	 95.674	 89	 94.885	 13	8.667	 81	13.21	 74	 8.314	511775	331250	 219037
 1	FLA  	Ben Shelton                         	25	 5	 81	91.660	 82	 94.604	105	 94.416	 61	8.005	 46	13.37	167	 3.200	561860	331252	 405468
 1	FLA  	Lukas Greif                         	12	 2	139	85.971	164	 92.630	186	 92.582	 87	7.857	160	12.91	128	 4.062	488587	331223	  77003
 1	FLA  	Johannes Ingildsen                  	 4	 3	225	76.998	199	 91.771	180	 92.707	200	7.236	213	12.75	422	 1.488	417806	331713	  56678
 1	FLA  	Will Grant                          	 5	 2	348	66.198	277	 90.097	278	 90.904	306	6.750	   	     	307	 2.062	509771	331238	  85355
 1	FLA  	Brian Berdusco                      	 4	 3	367	64.512	326	 89.300	319	 90.189	398	6.356	320	12.42	425	 1.448	488592	331220	  87428
 2	BAY  	Matias Soto                         	18	 5	 13	98.584	 18	 97.524	 20	 97.368	 16	8.595	  9	13.75	 11	41.695	453651	331415	2497812
 2	BAY  	Adrian Boitan                       	17	 5	 19	98.086	 13	 98.118	 14	 97.978	 28	8.456	 24	13.49	 21	31.042	497587	331562	2630972
 2	BAY  	Charlie Broom                       	26	 6	 79	91.851	 79	 94.664	110	 94.315	 59	8.027	 49	13.34	143	 3.723	527260	331386	2610373
 2	BAY  	Spencer Furman                      	24	 3	 85	91.497	 94	 94.270	140	 93.572	 52	8.130	 56	13.31	116	 4.242	562413	331414	  40545
 2	BAY  	Nick Stachowiak                     	20	 7	105	89.346	 89	 94.333	120	 94.098	 73	7.958	108	13.10	163	 3.376	562412	331387	1493215
 2	BAY  	Sven Lah                            	12	13	143	85.573	141	 93.087	133	 93.789	170	7.343	172	12.88	114	 4.251	424430	331420	2595796
 2	BAY  	Finn Bass                           	15	 3	169	82.744	169	 92.486	185	 92.598	191	7.275	183	12.84	140	 3.788	497586	331383	  93368
 2	BAY  	Ryan Dickerson                      	12	 0	187	80.433	181	 92.169	207	 92.259	189	7.280	324	12.41	125	 4.114	512869	331565	  57061
 2	BAY  	Constantin Frantzen                 	 9	 0	257	74.269	221	 91.385	269	 91.073	272	6.908	375	12.25	186	 2.914	407836	331569	  90471
 2	BAY  	Alex Garcia                         	 7	 0	318	68.504	378	 88.123	387	 88.924	338	6.610	337	12.36	186	 2.914	521236	331566	1907335
 2	BAY  	Sebastian Nothhaft                  	13	 5	321	68.423	334	 89.104	333	 89.978	415	6.225	223	12.72	305	 2.066	521234	331385	 217711
 2	BAY  	Christopher Frantzen                	 7	 0	454	56.901	432	 86.658	423	 88.042	439	6.085	497	11.59	373	 1.714	509799	331572	 270027
 2	BAY  	Rahul Dhokia                        	 3	 2	542	48.886	485	 85.214	494	 86.015	527	5.476	   	     	   	      	512870	331416	2751002
 2	BAY  	Joseph Chen                         	 3	 0	544	48.689	530	 83.596	510	 85.297	   	     	489	11.67	   	      	521235	      	1971271
 3	TENN 	Johannus Monday                     	31	 7	 18	98.117	 32	 96.732	 28	 96.980	 22	8.532	 15	13.64	  8	43.714	527971	331264	 246734
 3	TENN 	Adam Walton                         	19	10	 25	97.692	 29	 96.883	 19	 97.433	 44	8.232	 27	13.48	 10	42.596	461891	331281	1607999
 3	TENN 	Giles Hussey                        	29	 5	 53	94.434	 50	 95.723	 75	 95.224	 39	8.316	 42	13.39	 87	 7.542	513101	331287	2587952
 3	TENN 	Luca Wiedenmann                     	33	 4	 55	94.185	 51	 95.716	 76	 95.183	 33	8.378	 40	13.40	130	 4.018	463457	331284	1523057
 3	TENN 	Martim Prata                        	24	12	 72	92.591	 90	 94.293	 81	 95.077	 83	7.909	 90	13.18	 41	18.765	497830	331261	1962718
 3	TENN 	Pat Harper                          	12	 6	138	85.994	159	 92.743	173	 92.861	157	7.396	120	13.05	104	 5.433	488721	331286	1029709
 3	TENN 	Mark Wallner                        	12	 2	179	81.456	187	 92.003	209	 92.228	164	7.360	188	12.82	182	 2.928	513103	331441	1695552
